scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,
g2_rain_fade,RAIN_FADE,14,,300,2,60,ok,,,1,60.529166,2014,5,10.428,0.086,11.456,11.464041,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,61,ok,,,1,55.504709,2014,5,10.553,0.131,10.841,10.831625,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,62,ok,,,1,57.127083,2017,5,11.375,0.117,11.237,11.20925,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,63,ok,,,1,56.574084,2017,5,10.879,0.115,10.754,10.84895901,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,64,ok,,,1,59.49399999,2014,5,10.625,0.125,11.497,11.494875,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,65,ok,,,1,56.166375,2016,5,10.646,0.113,11.015,10.998709,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,66,ok,,,1,56.930417,2015,5,11.58,0.131,10.925,10.907458,888,709,418,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,67,ok,,,1,58.20775,2014,5,11.558,0.108,10.717,10.69425,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,68,ok,,,1,56.7795,2012,5,10.834,0.149,11.689,11.676875,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,5,7,0.714285714,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,69,ok,,,1,55.417291,2017,5,10.811,0.125,11.555,11.550417,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,70,ok,,,1,56.994667,2014,5,10.433,0.083,11.257,11.244125,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,71,ok,,,1,52.57675,2017,5,10.381,0.12,10.713,10.694416,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
