mode,scenario,run_index,timeout_ms,pto,status,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,processing_ms_leo2,bytes_ue,bytes_leo2,msgs_ue,msgs_leo2,rtt_ms,jitter_ms,loss_pct,rate_mbps
LEO_ONLY,z1_online_only,7,400,2,ok,31.42845900000424,1020.0,1,3.6969999999999956,13.274999999999864,13.242750000003412,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,8,400,2,ok,32.59416599999554,1021.0,1,3.605000000000004,13.211999999999989,13.182416999995894,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,9,400,2,ok,32.57954200000057,1021.0,1,3.607999999999997,13.059999999999945,13.037958999994714,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,10,400,2,ok,29.688708999998425,1020.0,1,3.3949999999999925,13.226000000000113,13.214957999998944,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,11,400,2,ok,29.26775000000248,1019.0,1,3.375,12.967000000000098,12.963375000005328,1019.0,1019.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,12,400,2,ok,28.792916000000446,1021.0,1,3.3419999999999987,13.045000000000073,13.022624999997845,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,13,400,2,ok,29.599333000000172,1020.0,1,3.573999999999998,12.911000000000058,12.88695900000647,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,14,400,2,ok,32.34395799999845,1020.0,1,3.583000000000002,12.830000000000155,12.811790999997186,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,15,400,2,ok,32.05729199999752,1020.0,1,3.849999999999998,13.213999999999942,13.191208999998594,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,16,400,2,ok,32.55504199999848,1020.0,1,3.419999999999998,12.963999999999942,12.935041999995178,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,17,400,2,ok,29.678542000006303,1021.0,1,3.519000000000002,13.139999999999873,13.115624999997522,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,18,400,2,ok,31.52058399999902,1020.0,1,3.476999999999993,12.988000000000056,12.966875000003597,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,19,400,2,ok,29.783791000006943,1020.0,1,3.660999999999998,13.259999999999991,13.245624999996153,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,20,400,2,ok,30.215916999999592,1020.0,1,3.5390000000000015,13.072000000000344,13.047917000001519,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,1,600,2,ok,32.550457999995785,1020.0,1,3.716000000000001,13.187000000000126,13.161749999994754,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,2,600,2,ok,31.95679199999546,1021.0,1,3.5299999999999976,13.072999999999865,13.044416999996145,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,3,600,2,ok,33.07095800000326,1020.0,1,3.4170000000000016,13.249000000000024,13.233957999993606,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,4,600,2,ok,29.294207999996047,1021.0,1,4.134999999999998,13.992999999999938,13.981166999997185,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,5,600,2,ok,31.67799999999943,1020.0,1,3.6090000000000018,12.874000000000024,12.85108300000104,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,6,600,2,ok,30.28699999999418,1021.0,1,3.3920000000000066,13.145999999999958,13.127125000004014,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,7,600,2,ok,29.915750000000685,1021.0,1,3.538000000000004,13.309999999999945,13.279625000002682,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,8,600,2,ok,32.53966700000177,1021.0,1,3.584000000000003,12.97199999999998,12.94449999999614,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,9,600,2,ok,27.467166000000987,1020.0,1,3.6290000000000013,12.965999999999894,12.939207999998814,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,10,600,2,ok,32.503791999999976,1020.0,1,3.6229999999999976,13.033999999999878,13.008792000000824,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,11,600,2,ok,33.43270900000306,1020.0,1,3.5189999999999984,13.24499999999989,13.21691700000116,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,12,600,2,ok,28.168458000003227,1020.0,1,3.5809999999999995,12.961999999999989,12.935542000001021,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,13,600,2,ok,32.02375000000046,1020.0,1,3.5510000000000055,13.098999999999933,13.077042000006145,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,14,600,2,ok,31.90825000000075,1021.0,1,3.482000000000003,12.913999999999987,12.889999999998736,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,15,600,2,ok,28.69858399999714,1020.0,1,3.4970000000000034,13.221000000000231,13.20299999999719,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,16,600,2,ok,35.15554200000537,1021.0,1,3.5180000000000042,13.304000000000087,13.28337500000032,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,17,600,2,ok,31.75045899999418,1021.0,1,3.3849999999999945,13.04600000000005,13.016959000005102,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,18,600,2,ok,30.47795799999875,1020.0,1,3.4940000000000033,12.894999999999754,12.872250000000918,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,19,600,2,ok,29.427624999996738,1021.0,1,3.5629999999999953,13.298999999999978,13.272624999999039,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,20,600,2,ok,31.021750999997266,1020.0,1,3.7360000000000007,13.141000000000076,13.121707999999899,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,1,200,2,ok,43.99091699999502,1019.0,1,3.5760000000000005,12.956000000000131,12.926415999999108,1019.0,1019.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,2,200,2,ok,44.072708000001626,1021.0,1,3.658999999999999,13.413999999999987,13.384500000000799,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,3,200,2,ok,47.36354199999937,1020.0,1,3.5770000000000053,13.379999999999654,13.352916000002324,1020.0,1020.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,4,200,2,ok,48.332750000000146,1021.0,1,3.702999999999996,13.58600000000024,13.554499999997915,1021.0,1021.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,5,200,2,ok,41.41225000000048,1017.0,1,3.5800000000000054,12.982999999999947,12.953750000001207,1017.0,1017.0,1,1,24,2,0.0,
LEO_ONLY,z1_online_only,6,200,2,ok,45.309375000002206,1021.0,1,3.483999999999998,13.127999999999929,13.107125000004771,1021.0,1021.0,1,1,24,2,0.0,
