scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,52,ok,,0,1,33.222542,374,1,3.739,13.663,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,53,ok,,0,1,36.530667,374,1,3.699,13.363,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,54,ok,,0,1,37.668,374,1,3.829,14.244,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,55,ok,,0,1,31.079208,374,1,3.655,13.452,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,56,ok,,0,1,35.416125,374,1,3.707,13.816,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,57,ok,,0,1,36.676541,374,1,3.605,13.677,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,58,ok,,0,1,38.385709,374,1,3.789,13.996,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,59,ok,,0,1,34.938083,374,1,3.735,13.721,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,60,ok,,0,1,38.420625,374,1,3.74,13.672,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,61,ok,,0,1,31.176583,374,1,3.647,13.37,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,62,ok,,0,1,34.995125,374,1,3.709,13.584,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,63,ok,,0,1,36.649959,374,1,3.674,13.422,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,64,ok,,0,1,40.248167,374,1,3.726,14.352,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,65,ok,,0,1,33.058917,374,1,3.641,13.453,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,66,ok,,0,1,33.375875,374,1,3.792,13.577,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,67,ok,,0,1,34.042126,374,1,3.677,13.864,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,68,ok,,0,1,31.359292,374,1,3.72,13.546,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,69,ok,,0,1,32.78675,374,1,3.773,13.687,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,70,ok,,0,1,36.182666,374,1,3.575,13.745,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,71,ok,,0,1,49.781375,374,1,7.281,25.209,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,72,ok,,0,1,33.299833,374,1,3.67,13.66,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,73,ok,,0,1,36.384083,374,1,3.796,13.671,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,74,ok,,0,1,34.326416,374,1,3.796,13.701,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,75,ok,,0,1,35.901458,374,1,3.777,13.563,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,76,ok,,0,1,35.898958,374,1,4.486,14.934,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,77,ok,,0,1,35.825958,374,1,3.53,13.627,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
