scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index,,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,41,ok,,0,1,90.847375,208,6,0.713,0.093,0.067,0.067,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.134,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,42,ok,,0,1,80.42525,208,6,0.49,0.043,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,43,ok,,0,1,87.7225,208,6,0.432,0.028,0.037,0.037,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.074,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,44,ok,,0,1,73.728875,208,6,0.428,0.024,0.038,0.038,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.076,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,45,ok,,0,1,75.005125,208,6,0.69,0.08,0.074,0.074,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.148,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,46,ok,,0,1,87.9655,208,6,0.443,0.03,0.037,0.037,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.074,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,47,ok,,0,1,91.729626,208,6,0.936,0.12,0.071,0.071,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.142,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,48,ok,,0,1,88.974458,208,6,0.421,0.036,0.039,0.039,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.078,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,49,ok,,0,1,87.466041,208,6,0.635,0.083,0.056,0.056,0,1.76303E+12,1.76303E+12,light→light,0.64,,,1,4,0.25,0,0,,,,,,0,0,0.112,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,50,ok,,0,1,81.796375,208,6,0.582,0.073,0.077,0.077,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.154,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,51,ok,,0,1,82.182375,208,6,0.541,0.063,0.042,0.042,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.084,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,52,ok,,0,1,82.805666,208,6,0.502,0.045,0.033,0.033,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.066,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,53,ok,,0,1,79.458083,208,6,0.418,0.041,0.039,0.039,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.078,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,54,ok,,0,1,82.578708,208,6,0.451,0.041,0.039,0.039,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.078,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,55,ok,,0,1,75.270291,208,6,0.604,0.066,0.067,0.067,0,1.76303E+12,1.76303E+12,light→light,0.64,,,4,4,1,0,0,,,,,,0,0,0.134,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,56,ok,,0,2,88.31025,208,6,3.474,0.28,0.272,0.272,0,1.76303E+12,1.76303E+12,light→light,0.64,,,2,10,0.2,0,0,,,,,,0,0,0.544,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,57,ok,,0,1,80.805291,208,6,0.419,0.031,0.032,0.032,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.064,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,58,ok,,0,1,83.128208,208,6,0.394,0.029,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,59,ok,,0,1,82.1265,208,6,0.697,0.069,0.078,0.078,0,1.76303E+12,1.76303E+12,light→light,0.64,,,2,3,0.666666667,0,0,,,,,,0,0,0.156,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,60,ok,,0,1,86.740459,208,6,0.742,0.082,0.079,0.079,0,1.76303E+12,1.76303E+12,light→light,0.64,,,1,3,0.333333333,0,0,,,,,,0,0,0.158,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,61,ok,,0,1,84.625667,208,6,0.858,0.09,0.065,0.065,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.13,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,62,ok,,0,1,81.496584,208,6,0.477,0.03,0.041,0.041,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.082,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,63,ok,,0,1,85.488417,208,6,0.475,0.035,0.038,0.038,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.076,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,64,ok,,0,1,82.5965,208,6,0.435,0.033,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,65,ok,,0,1,84.641708,208,6,0.407,0.034,0.036,0.036,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.072,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,66,ok,,0,1,81.004375,208,6,0.455,0.036,0.067,0.067,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.134,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,67,ok,,0,1,84.931459,208,6,0.542,0.057,0.054,0.054,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.108,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,68,ok,,0,1,84.488375,208,6,0.668,0.067,0.065,0.065,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.13,,,,,,,,,,,
