scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,47,ok,,0,1,17.792542,661,1,0.506,2.824,3.862124999,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,48,ok,,0,1,22.618292,661,1,0.507,2.797,3.778209,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,49,ok,,0,1,22.885583,662,1,0.61,2.336,3.277207999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,50,ok,,0,1,23.1245,662,1,0.489,2.816,3.618499999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,51,ok,,0,1,21.794416,662,1,0.465,2.834,3.867000001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,52,ok,,0,1,23.773499,662,1,0.84,3.258,3.844708001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,53,ok,,0,1,28.287125,662,1,0.488,2.828,3.844749999,1.76275E+12,1.76275E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,54,ok,,0,1,18.123334,662,1,0.494,2.849,3.881666998,1.76275E+12,1.76275E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,55,ok,,0,1,25.617417,662,1,0.785,3.261,4.290750001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,56,ok,,0,1,25.147083,662,1,0.6,3.241,4.378707999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,57,ok,,0,1,26.715666,662,1,0.619,3.951,6.997958,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,58,ok,,0,1,22.631125,662,1,0.52,2.836,3.8855,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,59,ok,,0,1,21.889334,662,1,0.523,2.903,3.869458002,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,60,ok,,0,1,25.794708,662,1,0.524,2.854,3.890083,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,61,ok,,0,1,26.709833,662,1,0.534,3.002,4.088292,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,62,ok,,0,1,22.894,662,1,0.53,2.89,3.69625,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,63,ok,,0,1,22.494541,662,1,0.488,2.767,3.743833,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
