scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks
z2_rain_fade,RAIN_FADE,14,0.2,400,2,17,ok,,0,1,37.02062499996828,1021.0,1,3.7419999999999902,13.215000000000146,1762174950291,1762174950302,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,18,ok,,0,1,36.60508299981302,1021.0,1,3.571999999999999,13.057999999999993,1762174950603,1762174950616,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,19,ok,,0,1,35.63516600024741,1020.0,1,3.6429999999999936,13.304999999999836,1762174950955,1762174950969,moderate,0.5,50.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,20,ok,,0,1,35.863625000274624,1021.0,1,3.593999999999994,13.334999999999809,1762174951286,1762174951298,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,1,ok,,0,1,34.36945800012836,1020.0,1,3.673000000000002,13.22700000000009,1762174951716,1762174951727,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,2,ok,,0,1,36.236792000181595,1021.0,1,3.587999999999994,13.30099999999993,1762174952049,1762174952065,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,3,ok,,0,1,33.28866699985156,1021.0,1,3.570999999999998,13.070999999999913,1762174952384,1762174952397,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,4,ok,,0,1,36.037374999978056,1020.0,1,3.732999999999997,13.587999999999738,1762174952744,1762174952757,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,5,ok,,0,1,34.204083000076935,1020.0,1,3.651999999999994,13.25500000000011,1762174953100,1762174953114,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,6,ok,,0,1,29.024500000105036,1019.0,1,3.3889999999999922,12.717999999999847,1762174953416,1762174953425,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,7,ok,,0,3,50.8876250000867,3061.0,3,16.778000000000006,17.134999999999764,1762174954747,1762174954773,heavy,0.25,25.0,0.0,5,5,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,8,ok,,0,1,38.090958000339015,1021.0,1,3.790999999999997,13.610000000000127,1762174955082,1762174955094,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,9,ok,,0,1,36.31916599988472,1021.0,1,3.6540000000000035,13.481000000000222,1762174955427,1762174955439,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,10,ok,,0,1,34.85991700017621,1020.0,1,3.6499999999999915,13.385999999999967,1762174955769,1762174955782,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,11,ok,,0,1,33.28037500023129,1021.0,1,3.5490000000000066,13.411000000000058,1762174956100,1762174956112,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,12,ok,,0,1,36.16387500005658,1020.0,1,3.3940000000000055,12.951000000000022,1762174956409,1762174956422,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,13,ok,,0,2,53.94558399984817,2041.0,2,12.820000000000007,26.29600000000005,1762174957272,1762174957291,heavy,0.25,25.0,0.0,3,3,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,14,ok,,0,1,37.81716699995741,1020.0,1,3.6529999999999916,13.463000000000193,1762174957607,1762174957620,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,15,failed,timeout_wait_response,0,3,529.3116259999806,3061.0,3,22.896,0.0,1762174958984,,heavy,0.25,25.0,0.0,7,7,1.0,1,3
z2_rain_fade,RAIN_FADE,14,0.3,300,2,16,ok,,0,1,36.4833329999783,1020.0,1,3.701999999999998,18.087999999999738,1762174959835,1762174959845,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,17,ok,,0,1,32.82199999966906,1020.0,1,3.541000000000004,13.357000000000198,1762174960154,1762174960166,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,18,ok,,0,1,33.12599999981103,1020.0,1,3.669999999999991,12.952999999999747,1762174960486,1762174960498,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,19,ok,,0,3,52.573291000044264,3062.0,3,10.256,30.209000000000287,1762174961843,1762174961859,heavy,0.25,25.0,0.0,5,5,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,300,2,20,ok,,0,1,35.84012500004974,1020.0,1,3.6879999999999953,13.404000000000224,1762174962169,1762174962182,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,1,ok,,0,1,35.622166999928595,1021.0,1,3.6600000000000037,13.434999999999718,1762174962609,1762174962621,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,2,ok,,0,1,32.463750000260916,1020.0,1,3.637000000000004,13.000999999999976,1762174962915,1762174962924,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,3,ok,,0,1,34.3075000000681,1021.0,1,3.7789999999999964,13.22999999999979,1762174963261,1762174963272,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,4,ok,,0,1,31.19916600007855,1020.0,1,3.721999999999994,13.323999999999842,1762174963587,1762174963598,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,5,ok,,0,2,54.728167000121175,2041.0,2,14.44400000000001,22.535000000000082,1762174964419,1762174964442,heavy,0.25,25.0,0.0,3,3,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,6,ok,,0,2,58.27604100022654,2040.0,2,13.686999999999998,25.019999999999754,1762174965232,1762174965256,heavy,0.25,25.0,0.0,3,3,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,7,ok,,0,1,34.17883299971436,1021.0,1,3.6739999999999995,13.39599999999973,1762174965556,1762174965567,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,8,ok,,0,1,35.755041999891546,1021.0,1,3.738999999999997,13.543999999999869,1762174965900,1762174965913,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,9,ok,,0,1,34.22820799960391,1020.0,1,3.448999999999998,12.906000000000176,1762174966199,1762174966211,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,10,ok,,0,1,29.895291999764595,1019.0,1,3.850999999999992,13.469000000000051,1762174966549,1762174966560,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,11,ok,,0,1,33.06441699987772,1020.0,1,3.514000000000003,12.980000000000018,1762174966867,1762174966878,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,12,ok,,0,1,32.14337500003239,1021.0,1,3.8590000000000018,13.643000000000029,1762174967235,1762174967245,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,13,ok,,0,1,42.21991699978389,1020.0,1,3.7379999999999995,13.670000000000073,1762174967560,1762174967576,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,14,ok,,0,1,37.262165999891295,1021.0,1,3.7080000000000055,13.532999999999902,1762174967904,1762174967916,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,15,ok,,0,2,48.74441699985255,2040.0,2,15.92900000000001,16.856000000000222,1762174968742,1762174968764,heavy,0.25,25.0,0.0,3,3,1.0,1,1
z2_rain_fade,RAIN_FADE,14,0.3,400,2,16,ok,,0,1,36.21766600008414,1020.0,1,3.652000000000001,13.62299999999982,1762174969080,1762174969093,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,17,ok,,0,1,34.19808299986471,1021.0,1,3.5060000000000002,13.062000000000126,1762174969411,1762174969425,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,18,ok,,0,1,36.04341700020086,1020.0,1,3.522000000000002,13.158999999999878,1762174969739,1762174969751,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,19,ok,,0,1,33.447582999997394,1021.0,1,3.6640000000000015,13.51099999999974,1762174970091,1762174970105,heavy,0.25,25.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.3,400,2,20,ok,,0,1,31.86908299994684,1021.0,1,3.5319999999999965,12.98299999999972,1762174970414,1762174970424,heavy,0.25,25.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.6,300,2,1,ok,,0,3,51.81933299991215,3060.0,3,9.026000000000003,24.982999999999947,1762174971880,1762174971897,storm,0.15,15.0,0.0,5,5,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.6,300,2,2,ok,,0,1,34.81912500001272,1021.0,1,3.713000000000001,15.588999999999942,1762174972210,1762174972220,storm,0.15,15.0,0.0,1,1,1.0,0,0
