scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ground,bytes_lj,bytes_ln,bytes_total,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,bytes_ue
g1_online_only,LEO_ONLY,12,0.1,200,2,1,ok,,0,2,52.264958001615014,1477.0,4,9.883999999999997,0.03700000000003456,9.668999999999983,9.665749999840045,706.0,415.0,1477.0,2,1,4,1761206603042,1761206603067,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,2,ok,,0,2,54.860666998138186,1481.0,4,9.879000000000005,0.034000000000332875,9.8599999999999,9.858165998593904,709.0,415.0,1481.0,2,1,4,1761206603342,1761206603370,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,3,ok,,0,2,56.15354199835565,1483.0,4,9.898999999999994,0.03499999999985448,9.990999999999872,9.989707999920938,709.0,417.0,1483.0,2,1,4,1761206603650,1761206603677,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,4,ok,,0,2,47.45958400235395,1477.0,4,9.632999999999996,0.03300000000012915,9.733999999999924,9.732541999255773,706.0,417.0,1477.0,2,1,4,1761206603948,1761206603971,,,,,,,,,,,,,,,,354.0
g1_online_only,LEO_ONLY,12,0.1,200,2,5,ok,,0,2,50.85550000148942,1480.0,4,9.711999999999996,0.035000000000081855,9.66700000000003,9.665333996963454,708.0,416.0,1480.0,2,1,4,1761206604222,1761206604246,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,6,ok,,0,2,51.388458003202686,1479.0,4,9.799,0.036000000000512955,10.00100000000009,9.998082998208702,707.0,416.0,1479.0,2,1,4,1761206604504,1761206604528,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,7,ok,,0,2,56.88779199772398,1483.0,4,10.175999999999998,0.03699999999980719,10.013999999999896,10.011209000367671,708.0,418.0,1483.0,2,1,4,1761206604815,1761206604841,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,8,ok,,0,2,50.09408300247742,1482.0,4,9.660999999999998,0.035000000000081855,10.055999999999926,10.05395899846917,708.0,418.0,1482.0,2,1,4,1761206605112,1761206605137,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.1,200,2,9,ok,,0,2,53.527500000200234,1483.0,4,9.881999999999998,0.03200000000038017,9.967000000000098,9.964249999029562,709.0,417.0,1483.0,2,1,4,1761206605403,1761206605431,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.1,200,2,10,ok,,0,2,54.71274999945308,1485.0,4,9.716999999999999,0.035999999999830834,10.029999999999973,10.027666998212226,709.0,419.0,1485.0,2,1,4,1761206605692,1761206605720,,,,,,,,,,,,,,,,357.0
